AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268033003,2497549,201190,8057
268033001,2011214,162609,6733
268033004,2185055,176087,7245
268033002,2407559,194389,7960
268036003,1446250,117509,7725
268036004,1153095,94208,6220
268036007,2911284,235938,10398
268036006,1480728,120703,7539
268034008,2133506,173075,7009
268034005,2402999,193108,7893
268034004,2035809,163839,6481
268034009,1071267,122922,5729
268032018,1385309,152764,6375
268004012,601176,57162,1775
268004011,860332,84392,2468
268035005,2071290,167111,6769
268035006,2115449,170986,6785
268035008,2618929,210976,8629
268035007,2039789,164025,6622
268034007,1768297,142170,5732
268034001,2508464,201966,8178
268034006,2045178,172793,7239
268034002,2536446,204181,8325
268036001,742493,67467,3797
268036005,2091566,168559,6890
268036002,2434290,195536,7929
268035004,2141035,179646,7055
268032017,1015670,101039,2997
268004014_268004015,1104232,113257,3172
268032016,1068078,110921,3773
268004016_268004017,1240577,114122,3710
268035010,1934558,155486,6289
268035001,2078189,167080,6927
268035002,2174033,175433,7181
268035003,2257233,181549,7398
268004006,3025311,252982,8778
268004013,993595,101116,2740
268004002_268004008,3299959,280878,9598
268004005,2278178,188320,7017
268004009,1057527,98970,3606
268032008,1968411,182861,5718
268032001,2017706,169698,10356
268032011,656329,63298,1867
268004003,3195494,267531,9507
268032002,3273948,277434,9746
268032009,1740793,153177,5222
268032010,680924,61666,1963
268005015,914296,86835,2737
268005011,2205656,183872,6495
268005014,1927396,167150,7234
268034011,1994356,165013,6442
268034010,2388649,193615,7814
268034003,2535787,203779,8379
268004004,1363354,111057,6908
268004010,2079337,191702,9881
268004007,1399116,122709,4571
268031015,2482882,226239,10501
268031014,1943961,157374,6353
268031011,3417510,274744,11183
268032003,1988995,159900,6274
268032007,2474005,222429,9272
268032004,2236082,179797,7355
268032013,956276,87217,2788
268005010,2566402,213731,7516
268004001,2102489,201981,10384
268005009,2135521,177284,6384
268005006,2835209,238142,8233
268005017,1237991,101179,6290
268005016,781075,75021,3539
268005013,972897,93987,3470
268005012,1566537,138507,4658
268031009,2786068,225688,9198
268031008,1973533,158957,6580
268031007,2314198,187006,7632
268031010,2039041,163848,6750
268005007,2329026,195208,6656
268005008,2439273,218584,8187
268005003,1951139,189823,7083
268003012,828101,97977,4457
268003016,922632,108959,4579
268003013,730991,79074,3311
268003018,821446,86292,3502
268031013,2222750,179512,7327
268031012,2158777,185933,6460
268031002,2070809,167436,6906
268031003,2112577,170133,6908
268005005,2137550,178312,6263
268005002,2358832,196742,6913
268005001,2403744,201451,6922
268005004,3040693,257848,9512
268032005,2510791,202762,8442
268032006,3037739,245171,10046
268032012,1518497,140500,4513
268031005,2373649,191092,7912
268031006,2086659,167805,6989
268031004,1839892,148139,6127
268031001,2074825,167207,6728
268002004,1285801,131685,5364
268002003,2189192,208029,7088
268002008,1415949,117955,4527
268002001,1008718,122055,4688
268002002,2654426,222694,7698
268002009,24267,1894,118
268002010,930684,93163,4129
268002016,748743,82873,3525
268002019,948409,107760,4682
268002020,879751,103228,4202
268003010,1708886,174253,7046
268002012,823326,71768,2545
268032014,1766031,152971,5181
268032015,1881595,158541,5552
268002013,930797,80928,2720
268003009,1486574,161988,7624
268003008,943050,113394,5465
268003014,910125,108912,5146
268003019,1803486,213334,8483
268003017,1119241,123079,5075
268003015,802896,81399,2964
268003001,1732761,208023,9807
268003005,984504,115586,4442
268003004,773071,91225,3254
268003011,1242121,121111,5554
268003002,1037007,124800,5987
268002014,672051,76674,3337
268002007,1078956,122883,5689
268002015,1424889,170506,6767
268002018,881232,100061,4011
268002017,1115164,125906,4816
268002005,2604506,227211,7959
268002011,1107964,111892,3118
268001005,1289533,120295,5126
268001007,1535792,146561,6972
268001004,1981481,177624,6620
268003007,1188440,141331,5473
268003006,1067379,128195,4940
268003003,1146676,119138,5262
268001001,2511310,208935,7348
268001006,1157241,110504,4465
268001003,2183699,185730,6955
268001002,2484491,215249,8691
268002006,1183720,138882,5558
268082007,1288019,124085,3930
268082006,2557758,222526,8280
268082009,1882491,156230,5655
268082001,2277182,201336,7166
268082010,1736716,176992,4808
268082008,1589532,139983,5058
268082004,889550,99058,3362
268082003,847825,100813,3735
268082011,1185191,133890,4971
268081009,3141480,262484,9159
268081008,1541087,157396,4973
268081003,2489765,227336,7702
268081004,2422536,209945,7137
268082005,478813,51875,1653
268082002,1638700,166948,6347
268082013,1672937,172242,5409
268082012,839963,98235,4267
268081001,766131,85482,3649
268081012,1848511,169455,6192
268081018,1714140,148661,5296
268081017,1142795,114427,5278
268080011,916827,108078,4752
268081007,1804949,181437,5790
268080010,1229833,104487,3716
268081010,1205316,105393,4092
268081011,1067670,104288,3524
268081016,683107,72285,3350
268081015,715594,75446,2131
268081005,1269314,128441,3942
268081006,1307802,123518,4053
268081002,1942620,167496,6123
268081014,972734,99887,3215
268081013,746552,69505,2139
268080006,1756480,155418,5242
268080007,1149473,101034,3648
268080012,934751,82466,3366
268080013,1159483,96136,3528
268080004,1347487,112538,4078
268080005,1069913,91660,3636
268080002,1102693,93256,3227
268080016,840347,69356,2545
268080009,1266430,116568,4650
268080017,1153054,97355,5182
268080015,849320,80731,2738
268080008,887770,77357,3205
268080003,982446,86411,3199
268080001,1133056,133134,5893
268080014,761762,77691,2717
268078001,3243647,276841,19735
268078002,3102325,258309,9435
268078009,1588870,131796,4876
268078012,1890031,157701,7384
268078003,1757566,147314,5600
268078010,2048513,169812,6350
268078005,2229182,187309,9352
268118001,2448482,219184,8913
268118007,987655,108837,4371
268118003,1070076,130119,5061
268118004,1012932,119782,5118
268118002,6253839,538248,47662
268078007,1903003,158407,6024
268078008,1594376,131828,5161
268084002,1943030,163600,6502
268078006,1945661,185193,10206
268078004,2031788,175091,12660
268078011,1293414,113927,5983
268085004,939976,110890,4800
268085013,1096625,130226,5534
268084001,1613802,139249,5213
268084003,2008183,166460,7098
268085001,1411662,153218,7432
268085002,1183694,118087,4599
268085012,1070399,119867,5120
268084004,8411251,721409,68434
268084009,1121692,132474,6039
268084010,1642737,173307,10931
268084006,1241962,109688,5267
268084008,2048294,189624,11008
268084007,1466086,156413,11603
268085003,1282121,131152,6688
268085011,11109574,943231,89545
268085008,1645732,150398,6456
268085009,2194952,218294,11364
268085010_01,807545,77341,3584
268085010_02,1958282,188773,11431
268085014,2325346,192928,7550
268085017,1925790,172513,7070
268085015,1978136,164536,7065
268085018,2963026,246509,9563
268085005,2491657,211638,13178
268085016,3004477,251653,9702
268085006,2034214,170952,9620
268085007,2084102,173198,6679
268084005,1728180,178847,8087
268148001,3331080,289973,17193
268148003,1921900,185558,9006
268153002,1931549,182215,8793
268153010,2078343,184833,9594
268153001,1346566,143399,4718
268153006,2410157,222152,11614
268153005,756848,90796,3770
268153003,649925,70727,4781
268153004,2683941,225947,8037
268148004,1250729,121271,6963
268152001,753041,90454,3345
268152003,2180639,184952,7587
268152002,2361700,202222,9201
268152004,2071935,172350,7526
268148002,1659559,161015,8710
268148009,1103947,126429,6761
268148008,2354550,248603,14156
268148006,1188149,122363,10379
268148005,1100438,112851,9564
268148011,1105642,131649,5174
268153008,2926099,245464,9542
268153007,1626535,139000,5160
268153011,2109602,176772,6394
268153009,2508477,208557,7780
268151002,1529800,144323,7301
268151001,2514831,209688,7744
268151009,1867721,183270,9529
268151006,1578081,132574,6454
268152009,3931290,326545,23025
268152010,4495414,378462,34243
268152006,11380232,957268,93355
268152005,15051215,1266917,123877
268152007,12185474,1025317,100676
268152008,10857213,913238,89740
268118006,767157,89012,4011
268118005,1235480,133940,7225
268148007,1385903,144947,6784
268148010,1100427,122884,5781
268148012,1559960,152477,10143
268151011,1946066,162630,8572
268151012,456444,46737,3984
268150009,827049,83298,6990
268151007,982313,89449,2856
268151005,2053762,180004,6619
268151008,1605471,139830,7967
268151010,500541,51568,4393
268150010,772244,75546,6446
268150003,2875223,240987,9215
268151003,2842565,247676,11568
268151004,1065057,119452,6346
268150001,2348801,210161,9473
268153012,14169635,1194078,116352
268150008,6680121,568720,53959
268150007,1335635,140560,7075
268150004,6333947,541184,50370
268150006,9676602,829151,77498
268150005,932112,103268,4920
268103002,3753223,323289,18133
268103001,2936150,255836,11781
268150002,3248745,273160,10950
268150011,2513907,231488,10606
268100003,1534451,147577,7805
268149001,986970,107684,5598
268149005,1171243,136128,5417
268149006,1415004,163586,7294
268103007,755865,81200,5651
268103004,2821623,238672,9659
268103010,1167859,120761,9198
268150013,2133543,209147,13099
268150014,13934765,1173582,114899
268150016,8673725,730043,71636
268103006,9828285,826308,81282
268103008,2420819,201889,7605
268103005,6938081,584516,56899
268103003,8456192,711997,69389
268150012,1909996,192682,9185
268100004,2111443,199471,14029
268100005,1575197,174972,8672
268150015,1337763,136181,7201
268150017,3091271,273782,21216
268099004,1140342,110891,6959
268099001,2972679,254372,15857
268149008,7970702,678288,64543
268149007,1445326,140784,9415
268098003,16175054,1362053,132386
268149004,777910,88207,4023
268149003,1223161,139602,6527
268149002,735052,88389,3228
268098004,808544,87403,5286
268103009,2935453,248450,10910
268102002,3622530,318618,19367
268102001,1651959,146579,6815
268102003,957716,101941,6008
268100001,10407501,875457,86018
268100002,8048041,677810,63382
268099003,4348658,382137,34341
268099016,1402089,137187,8195
268101005,1910145,177298,7801
268101003,1625903,135615,5580
268101002,3061235,254055,9832
268100006,2523828,215581,10758
268100007,1331501,145414,8261
268100011,736785,75585,5079
268101001,2352139,195373,7097
268101006,2706375,224630,10572
268101004,2116922,174073,6736
268098002,18906169,1591603,155585
268098005,559773,59657,4329
268098007,12523975,1054774,102897
268099002,1953491,162922,7488
268099006,3032413,254606,12966
268099005,1863171,160692,8584
268100010,1699016,145313,6889
268098001,1943273,189571,13353
268098010,1459279,145544,9013
268098009,1485947,154045,8913
268100008,1501764,126543,6461
268100014,1100942,126994,6581
268100012,850907,100276,3963
268100015,1019775,121537,4589
268102006,2133844,179711,7333
268102005,1652846,137025,5000
268102009,2931176,248928,9887
268102011,1149325,136538,6000
268099007,3098323,282177,17865
268099008,2080459,173722,7239
268099020,3709081,335120,27869
268101009,2787355,231397,11174
268101008,3113999,259255,9598
268102010,854955,101935,3841
268099019,4189537,368884,32491
268099014,1381045,167757,6219
268099015,2175717,204204,8294
268102007,663301,75689,3626
268102008,2356956,205163,12188
268162009,2353990,213502,11634
268100009,2284746,203069,12972
268100013,1315017,144855,6636
268100017,1404172,141527,5368
268098008,1357171,152988,6974
268098006,7688814,660994,56213
268099010,1074113,127641,4908
268099009,1184527,140915,5163
268099011,1527379,167929,7214
268102004,1030997,110530,4940
268101007,4853867,425239,37455
268100016,1460729,143400,8258
268099021,883705,97203,4379
268099017,619844,60850,2169
268099018,1601326,146024,7787
268162002,5235114,453509,37694
268162001,2162442,188206,7121
268162004,2396274,205484,14037
268162008,1010021,95912,4136
268162010,2691081,239605,10877
268162011,1445077,130397,4196
268162003,2891696,242489,10517
268162007,2961240,246377,11167
268162006,2998857,250928,10478
268099012,893474,109060,4030
268099013,1264741,142082,6061
268161004,1415051,137534,6373
268161007,855405,104384,3861
268161003,1351874,138846,5348
268161002,1457786,144402,7256
268161006,991786,115985,5022
268161005,2307073,211156,11177
268161010,8435529,739942,63170
268161009,2603134,237510,15201
268161001,2622174,258445,13307
268161008,1638849,162594,7801
268162017,3935407,351855,25477
268162018,4323326,379780,24874
268162012,2297349,194830,7797
268162015,2489397,219416,15715
268162005,3638187,314001,16869
268162016,2881878,246252,10940
268162014,1600146,141347,5869
268162013,2776094,241898,15447
268161012,11496118,980954,92546
268161011,11687886,993961,94951
268028007,2825518,229577,9430
268028009,2711757,224474,9249
268028008,3137274,253829,10973
268029006,3406574,282525,10560
268029008,2138435,176375,7269
268029005,3946206,324695,12129
268029007,2629583,215511,9035
268060013,2443229,197905,8591
268060012,1877796,152235,6566
268028005,3137602,256393,10372
268028006,3195592,263154,10235
268028013,2550579,226714,9309
268028014,3019145,246118,10834
268157011,928035,98825,3441
268157010,2179160,177459,9370
268157003,3731733,305385,12928
268157008,2687947,219667,10851
268017020,1046543,104652,6635
268158001,2611316,212356,8936
268017015_268017016_268017017,1070804,111470,4934
268017001,2762280,225292,9537
268017002_268017019,2327750,189314,8055
268017023,1208900,123812,7285
268017013,1333614,113264,7473
268017022,1987999,164246,9901
268017018,1268986,123669,7433
268017014,1656216,149084,9858
268017011,1697377,152187,10038
268029002,3589050,294182,12287
268029001,2541283,211565,8633
268029003,2702076,233681,9196
268029004,2781466,229612,9229
268028010,1235073,137611,5926
268028012,973714,95320,4687
268028011,1004107,94468,3581
268060011,2289557,184645,8277
268060010,2411667,194784,8660
268060009,2098989,169464,7539
268060008,2175902,175604,7889
268028002,2576218,208479,8732
268028003,3128070,262848,10633
268028004,2236287,188058,7860
268028001,2381063,195925,8045
268010001,1849382,155972,6486
268010006,2289545,190371,9195
268010005,2217474,187425,7712
268060014,2118681,173984,7480
268060007,2154548,173931,7790
268060006,2856430,231347,9962
268060005,2670671,222292,10197
268158006,2158917,175944,7433
268158017,769316,82914,4263
268158005,2353665,191157,9680
268158008,2423084,197949,10157
268017012,1560931,135803,8735
268017010,1750459,143405,8503
268017006,2324582,189361,10200
268158003,3439170,281827,11658
268158002,2744217,223196,9405
268017004,1389815,121738,9448
268017003,2482451,202452,8523
268017021,2003023,189822,11550
268017009,1857033,154009,9019
268017008,1621147,138637,8082
268157009_02,1675560,180754,8096
268157009_01,1315337,144306,6747
268157001,2090808,170235,8949
268157002,2787882,225894,11828
268157005,1656183,134246,5925
268158004,2793340,227142,9524
268158016,2330368,208842,10542
268060001,2166680,176388,8284
268060002,1529678,125357,5343
268060003,2699452,219263,9236
268060004,3670916,308470,12032
268010011,1922942,161607,6545
268010002,3003866,245293,10361
268010013,2230050,181402,7588
268010003,3179381,264798,11165
268010004,1479977,136844,7173
268010009,937120,87741,6839
268010010,1312571,119960,6009
268059005,1275466,114675,4668
268059007,1609188,150655,5693
268059008,914887,92746,5169
268059004,1142113,109187,8111
268010007,1142324,97538,4136
268010015,1476925,132599,5201
268058012,1623015,132396,5612
268058001,2890443,235816,9903
268058014,2081966,168877,7381
268058013,1148285,104218,4719
268010012,1742315,143067,5909
268010008,1285576,112090,4332
268017007,2305952,188042,7902
268017005,2051675,166994,7121
268159008,2163320,178794,7255
268159009,1983904,161826,6770
268158009,2069714,167356,8111
268158015,2357428,190767,8493
268158013,2538831,205075,9142
268158007,2053358,166328,7271
268157004,2916124,237219,10560
268157012,1961986,158709,6975
268157006,2144916,174497,7360
268157007,2640575,215005,9273
268010014,2748046,238078,9411
268058007,2139026,183488,7736
268058009,1243642,126967,7169
268058008,2306550,186436,10286
268058018,3111686,252205,11275
268059006,1735493,141000,6779
268059001,1836879,148830,6480
268059002,2548962,220615,9696
268059003,3056309,254627,10749
268158010,2517251,203877,9117
268158014,2191815,177887,7903
268158012,2537672,205304,9053
268158011,1906107,155863,6532
268159002,2519964,206073,9061
268159001,1878440,155225,6719
268159004,2792269,226883,9981
268159003,1836324,149619,6646
268058015,1235506,119097,8274
268058016,1807249,168163,9123
268058004,2992908,250292,10113
268160002,2470100,204090,12226
268160001,2114732,174957,9980
268160004,1762052,191066,9685
268159006,2542315,206796,10521
268159007,2305891,196009,10669
268159005,1899440,155349,9616
268160005,1890771,153644,7343
268160003,1062293,104089,7235
268070001,2548681,207439,8771
268070018,2305807,207060,9326
268070017,1142893,113826,6253
268058011,1822464,162055,10162
268058005,2706072,221896,9197
268058006,2365076,193514,8481
268058002,2408658,195086,8770
268058017,3188738,261845,13762
268058003,1728559,139465,6252
268160006,2465124,199919,8987
268160007,2483034,200575,8923
268160008,2095005,169678,7507
268160011,1830620,156453,6763
268021007,1873328,152150,6626
268021005,2354511,190481,8401
268021006,1995470,161310,7130
268021010,2320558,188951,8224
268058010,2112385,183599,10361
268070015,2396891,196374,8536
268070003,2502951,204104,9736
268070004,1749241,142519,8086
268070006,2019677,164512,8710
268160010,2171600,176141,8061
268160009,2559119,207647,9343
268021001,2439241,198698,8656
268021009,2797389,227144,9797
268021008,2756929,224439,9359
268021011,2181604,178913,7637
268070002,2037376,172804,7231
268070016,2378158,191649,10988
268070013,2082467,168242,9409
268070014,2013409,161658,9150
268026003,2923279,247730,9801
268026004,1859932,146166,8622
268026002,2079807,163384,9641
268026001,2136216,172732,7715
268026005,1733944,137046,7999
268026012,2657792,215457,9340
268026006,2455610,194106,11351
268026007,2876881,234657,9915
268021004,2295090,186984,7993
268021003,3055927,249209,10361
268021002,2467227,200816,8405
268070005,1987299,161704,8672
268070007,2307385,187753,10157
268070008,1827079,154529,6669
268021012,2099421,171770,7286
268070022,1596311,132071,7966
268070021,2059487,171444,10388
268070012,1924531,155816,7060
268070020,2697441,218475,9640
268026009,2452514,199822,9077
268026008,3377040,274608,12113
268026011,3146948,255726,12661
268025001,2512982,203650,9158
268025002,2409286,195569,8882
268025007,2759396,224824,9485
268025005,2746737,223204,11103
268070009,2400726,193904,9231
268070010,2209369,178101,8062
268070011,2518889,204769,9316
268070019,3159837,255613,11359
268026010,2762067,224223,11792
268025008,2542911,210284,9477
268025006,2249650,183148,7857
268025004,2662420,216067,9590
268025003,2214596,179904,9242
268038003,1293481,147727,7939
268038005,1001892,109984,6185
268038004,1177381,130349,7184
268038001,1509862,123671,8482
268038006,1881333,148922,11022
268038002,1589247,127398,9671
268039004,2426637,194628,8736
268039006,1859376,155743,8846
268039005,2008969,161113,8204
268039001,1754835,137618,9142
268039002,2102442,169149,7612
268039007,1880001,150938,6802
268061005,2690908,216830,9717
268061004,1858974,150075,6768
268061003,1976612,158980,7218
268061006,2068341,166959,7421
268039003,1908504,153965,6770
268039009,1797538,144167,6351
268039008,1930769,155418,6889
268039010,2905882,234723,10693
268095001,2217250,178308,7977
268061007,1986093,160488,7214
268061008,1786803,144687,7337
268061009,1830407,147534,7568
268061012,1943618,156916,6828
268061010,2133348,171676,7751
268061011,2528485,208580,9453
268095004,1965145,158738,7030
268095002,1865716,151018,6478
268095005,2512693,203031,8952
268061001,2150554,173385,7494
268061002,2893181,232345,10200
268061013,1082015,89945,4679
268095003,1815445,146709,6390
268095009,2260223,182930,7874
268095008,2424121,196434,8716
268095006,2755812,221675,9716
268095007,2363809,190454,8210
268057011,1650757,132432,5864
268057009,1562767,126306,5497
268057010,1800216,144668,6441
268057008,2476963,199447,8523
268057006,2073372,167661,7188
268057002,1706501,138010,5878
268057003,1953631,157122,6898
268057001,2559954,207443,8830
268057007,2432403,195883,8431
268057005,2132381,171315,7528
268057004,2252664,180850,7967
268083005,1545781,124087,5437
268083007,1783554,153114,7246
268083006,1348726,110492,4358
268083001,1861417,150979,6652
268083010,1839812,148847,6502
268083009,1753228,140027,6269
268083008,1963476,157521,6904
268083004,1609138,130099,5590
268083002,2156337,174073,7467
268083003,2268814,182770,7851
268083011,905496,100638,5648
268083012,1192196,135222,6917
268066005,2345980,187010,8791
268066006,2387310,190499,8872
268066008,2231907,178100,8252
268069007,2128354,169731,9535
268069005,1442731,116160,6575
268069008,1694746,135894,7880
268069006,1366640,109032,6514
268063011,2371509,188413,10097
268063006,1688699,135615,6335
268063012,1616505,129433,6367
268066007,1169250,96824,9303
268066009,1675941,133749,6382
268066010,1984597,158338,7640
268066011,1835952,147799,7657
268063005,1827501,152870,9019
268063010,1803281,143772,7536
268063004,1907802,153236,7897
268069003,943239,79969,6641
268069001,1947384,155477,9264
268069004,1129835,94475,6983
268069002,1990020,158821,8946
268063007,1475953,118132,5603
268063008,2476549,197669,9279
268063009,2691371,214822,9946
268063003,2535223,203173,9348
268063001,1503567,119411,7142
268063002,1711897,136526,7113
268064001,1971517,157294,7373
268069009,1927744,153536,8799
268068001,1752898,140378,8837
268066001,2115391,168825,7854
268066004,2401790,191507,9030
268066003,2354781,187980,9113
268066002,2232500,178648,9916
268064005,2609501,208403,9666
268064003,1805583,144946,6982
268064004,2184695,174475,8202
268064007,1273497,106930,5333
268064006,2279508,182055,8585
268064008,1862175,149278,7072
268064011,724129,58586,2952
268068009,1480212,118146,7473
268068002,1723286,137661,8345
268068005,1395859,111408,6771
268068003,2115467,168580,9713
268068004,1689214,134697,7803
268067002,1528968,121747,7159
268068006,2382132,192525,9349
268068008,2108230,168632,7949
268068007,2228323,177773,8143
268064002,2102291,167721,7901
268064010,1916202,153766,7235
268064012,1862647,150433,7900
268064009,1913147,158142,9025
268065007,1823465,147836,6717
268065008,2295196,191489,9825
268065013,2918401,232976,11298
268065015,647245,58621,5624
268067003,1847722,147614,9262
268067005,1277834,104815,7660
268067004,1297856,103599,6438
268067013,1778435,152922,9456
268067014,1803071,146348,7740
268067015,1157368,94323,5971
268067001,2250624,179648,10461
268065014,1862753,153335,8395
268065006,1496095,120286,5811
268065012,1760654,140598,6632
268065005,2075221,165713,7901
268012012,2946113,235973,11825
268012008,2643877,210806,9866
268067007,1896585,151363,9079
268067011,1631919,129948,8032
268067012,527089,52593,4079
268067009,1177358,120733,8394
268067008,1348355,108374,6823
268067010,871283,84840,7091
268067006,950193,107109,5389
268065010,1970553,157942,7310
268065011,1821935,145436,6964
268065009,2287776,183186,7974
268020009,2258288,180866,8295
268015006_268015015,402937,35775,3699
268012011,1795376,143157,8285
268012005,1797718,143436,7299
268012006,2043603,166005,7760
268012007,1818834,145101,6687
268015009,975908,84989,7307
268015012,673561,59210,5406
268015010,1074666,94393,7726
268015011,586735,49968,5012
268030013,929906,83756,4810
268030012,1406250,115615,7271
268030015,2224415,177370,10901
268030005,1750318,140442,8837
268012004,2161553,171125,10053
268012009,947267,100132,6224
268012002,1235780,132231,7494
268012010,1039698,113944,6182
268065002,1454616,116085,5395
268065003,1855849,148092,8028
268065001,1682713,134280,6252
268065004,1909965,152442,7127
268020003,2183973,174860,7949
268015017,1291134,122714,10874
268015013,855222,75208,7371
268015005_268015014,815675,70347,6972
268012003,2444040,194080,11747
268012001,1199317,100134,7416
268014005,1980344,165287,10021
268015016,578703,53330,4022
268015008,1560342,124647,8464
268015007,1545681,125194,8247
268020006,2809378,224637,9939
268020008,2784668,223128,9572
268020007,2982242,237571,11996
268013002,1957200,156136,7221
268013004,2657495,212683,9568
268013001,2410394,193197,8773
268013003,2004511,161824,7876
268013006,2122222,169893,8308
268013005,1784315,142422,6642
268011009,2513191,201196,9119
268014001,1628372,130557,7611
268014010,1752618,139737,6696
268014004,2676143,213605,9939
268014002,2062165,170802,7091
268020002,2807968,225047,9804
268020001,2464516,197458,8556
268020004,2511116,201163,8741
268027002,2401039,192460,9028
268027005,2971474,236473,12231
268014006,3121565,250548,10746
268027006,869904,85298,5587
268016001,2128749,169094,9794
268016009,1134033,93938,8818
268030004,1969770,157655,7561
268030010,1667257,133014,6389
268030011,1268936,118866,5046
268030009,833600,91240,2917
268030014,1942062,157087,9241
268030027,1896932,157608,8668
268030026,1891328,155876,9239
268015003,2475316,197228,12483
268016004,2161062,172359,9631
268016006,1402142,113097,8289
268030002,2182085,180423,7596
268030024_268030025,1323839,118056,4611
268030001,1900601,159923,6631
268015001_268015004,1752207,147345,11118
268015002,2026706,166357,10788
268030016,1205021,119956,3767
268030006,1091057,120166,2863
268030017,1034004,118443,2548
268014008,1580485,126067,6045
268014009,1895296,151170,7011
268013007,1029759,82707,4326
268013008,1834219,146784,6700
268011007,1418579,113187,6653
268020005,2052440,162357,9940
268019006,3290436,263716,11830
268019005,2728724,218098,10660
268027004,677071,73536,4128
268027009,2763417,221520,9906
268027003,852393,92015,5233
268027008,2450690,218157,8096
268016003,1859774,148700,8692
268016002,1916925,152676,8612
268016005,1389547,110619,6582
268016007,1222404,97125,5823
268030003,2894481,238201,10244
268030023,1440951,119823,5148
268030022,1218785,110927,3678
268030021,1171795,129798,2890
268030020,960725,104433,2651
268030018,1095713,122570,2785
268030019,1216037,127839,3405
268011008,3730116,298815,13061
268011003,2592589,207789,8843
268011002,2118062,169752,7258
268019001,2340166,187509,8087
268014007,2585541,215804,10372
268014003,2062662,167556,7967
268011001,1981414,158066,9415
268018006,1524877,123653,8482
268018001,995088,87194,6290
268018005,2118575,178139,10640
268018002,261121,22480,1514
268018003_268018004_268018009,901284,76897,7237
268019004,2336024,187156,8036
268019003,2902039,232579,10062
268019002,2208537,177071,7650
268018014_268018017,1530992,128447,11927
268030008,2597346,256231,7642
268030007,1803232,166778,7802
268011006,2209889,176692,8177
268011005,2434916,194632,9221
268011004,2231465,178383,8157
268011011,2076776,165925,7602
268016010,228234,18594,1735
268016014,381276,32225,3200
268016015_268016018,1052309,109398,6776
268016016_268016017,608441,64102,3872
268027011,2365372,204008,8202
268027010,1868358,163698,6368
268018008,478653,39788,2711
268018013,535967,44525,3024
268018007,557134,47133,3025
268011010,2004970,161373,7494
268011013,3219640,257078,11833
268011012,1765102,141608,6141
268016008_01,2308231,190669,14913
268016008_02,383799,31066,2665
268016011_268016012_268016013,2374714,190346,10544
268027007,1347709,112955,4886
268027001,2211181,186747,7982
268018012_268018015,1282450,133146,8237
268018010_268018011,2454450,195889,9231
268018016,1682873,147666,9893
268027013,702158,57995,3437
268027012,2369119,192796,9442
268040004,1287106,147702,13259
268040003_01,1834503,209486,16860
268040002,2093998,169490,9899
268040001,2012129,162912,9378
268040006,2088073,168968,9753
268040011,1807387,146083,8549
268040008,2088564,169430,9918
268040005,717002,73748,9312
268040007,1881624,152582,8377
268079001,1657735,135425,6107
268040012,2416290,195810,11931
268040010,1970935,159153,8796
268040009,1454594,117433,6559
268154006,2565768,206702,9034
268154001,1975725,159369,6969
268154002,1224780,109574,5312
268154003,1957785,157320,6901
268079005,1914644,154706,6745
268079008,1731989,138930,5895
268079004,1616357,157058,6934
268079002,2856804,236041,10607
268079003,2333156,187936,8560
268079006,2202994,186399,7545
268079007,1907205,155860,6961
268154009,398978,48714,13461
268154010,622529,74181,18097
268154005,2732805,219798,9623
268154004,1799911,146156,6918
268154007,1884259,152985,6977
268154008,3233052,263351,11299
268155004,2931770,235516,10116
268155005,2650119,215571,9597
268051001,2919311,233946,9763
268051004,1543633,125140,7018
268051005,3022727,243272,10421
268056008,1859090,149688,6566
268056009,1787177,143740,6253
268056002,2286138,184520,8087
268056001,2070655,166178,7059
268056011,2462781,214793,10349
268056006,2568046,207641,9009
268056007,1694899,147814,6984
268155001,2297395,185808,8173
268156006,1614601,129857,5682
268156003,1738950,139751,6175
268156004,2064639,165778,7110
268156002,1247871,99508,4034
268056005,2414551,194466,8569
268056004,2002907,161584,7191
268056003,2232947,180711,7826
268051002,2793900,224629,9690
268051014,1731873,139250,6064
268051013,2170852,174783,7684
268051006,2125772,171023,7267
268155007,2053471,166009,7078
268155006,2082650,167645,7337
268155003,2503538,200825,8450
268155002,2457294,198238,8604
268156007,1541186,123817,5294
268156005,2342088,188162,8003
268156008,1849411,155243,7380
268156009,1317199,107079,4979
268051003,2353724,189793,8349
268051007,2958619,238069,10374
268051008,2587134,208186,8783
268055004,2412469,194080,8435
268056010,3192603,258268,11042
268055005,2715658,218469,9326
268156010,1973099,158361,6763
268156001,2344947,188584,8152
268156011,1596265,141064,6343
268094002,1824928,146089,5905
268055009,2057742,165803,7310
268055008,2838760,228586,9924
268055010,2847628,229012,9885
268055002,2467025,198826,8602
268055003,3053863,247128,11457
268055001,1803476,153837,5870
268054004,1565401,142106,9482
268054002,1537062,126536,6465
268054005,1589553,128088,5873
268054006,1971266,159157,6927
268051009,1155331,104461,3761
268051012,2119029,170809,7385
268051010,2980652,240111,10419
268051011,1752803,141237,6097
268090001,3013795,242384,10519
268090002,2894386,233084,9832
268090003,2043142,163888,6914
268055006,1716609,138298,7142
268055007,2085402,167669,7244
268052010,2447735,202239,8449
268094001,2114232,169958,7749
268094006,1906812,165851,9814
268094005,1781967,144890,6835
268054001,2355826,191945,8238
268054003,2439831,196773,9469
268054012,2968348,239441,10080
268052009,2962265,238550,10219
