AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268108007,2440661,201948,7859
268108024,2139154,174909,7327
268108004,2173244,182573,6963
268108023,2687159,222464,8936
268108012,2765365,228931,9051
268108005,1965354,168381,6665
268108013,1811360,182950,10020
268108011,724160,83284,6485
268108003,2191758,185420,7728
268108025,2439603,200550,8090
268108028,2231633,194752,8326
268108022,1952502,165177,6347
268049003,1223743,124722,4228
268049001,2492850,205062,8527
268049010,1635193,137805,5838
268049009,2043306,169368,6772
268050003,2332616,190177,7990
268050010,2725030,221843,9336
268050002,2004049,163194,6752
268050009,3536707,288750,11889
268108018_268108019,364057,41822,3804
268108029,1678642,163217,9473
268108017_01,2115529,242942,21455
268108017_02,365386,43018,3863
268108006,2200128,192280,7612
268108009,2948457,244404,10102
268108002,2477991,202431,8344
268108001,2631496,214771,8914
268049002,2496043,216216,7808
268107001,3082018,252585,10203
268049004,2496162,219390,8362
268050001,2350363,191897,8036
268049007,2276240,185957,7700
268049008,2909756,238224,9758
268048009,872954,83371,2938
268108010,599899,63732,4907
268108008_01,650744,72865,3611
268108008_02,1406031,162813,14753
268108020,1663602,191910,14427
268108021,1351554,154787,11141
268048001,2148773,182080,7393
268048007,1108141,111967,4098
268048002,2986776,251549,9481
268048008,1738517,165785,4883
268048010,2964306,257848,10130
268048003,1938012,170524,6656
268048011,1040983,116919,4462
268048016,1620347,164467,7749
268048015,3251860,268451,10686
268048017,966518,100430,4279
268048013,2445179,205341,7206
268048014,2180056,200967,9870
268048012,3554272,309199,12190
268108015,658950,76732,6815
268108014,343481,38413,3608
268108026,2557103,229922,9593
268108027,1232637,136288,11768
268044003,3479294,317945,10855
268044004,4260746,352004,14294
268044006,3810851,314629,12612
268044008,2466463,229916,8566
268044009,3632425,310722,11388
268043003,2645880,245326,9612
268048005,842179,97206,4130
268048006,2660414,236610,10601
268048004,861715,95936,4536
268045001,3021225,249693,9885
268044005,3041605,251196,10117
268044007,2234882,198917,9377
268044002,2291975,189608,7833
268044001,3151640,259415,10708
268043004,1792211,163298,6318
268043006,2321634,196229,8273
268043005,2081149,186182,8029
268043011,2953081,256119,9413
268043007,2815169,232514,9279
268043001,3126952,264118,11717
268043002,3189570,266492,11236
268043012,2870345,243301,10357
268045007,2078276,171407,7030
268043010,2384175,197081,7823
268043009,1505468,138263,7312
268043008,2838911,243201,11323
268045006,2280843,185309,7745
268045002,1443757,145028,5935
268045004,2006037,162778,6871
268045005,2412808,198833,8375
268042019,986368,108537,3959
268042001,2569375,212272,8514
268042002,2879549,238934,9963
268042018,2989862,247846,10482
268042010,3221605,267087,10740
268042027,2894842,243525,11840
268042028,1375672,150703,7298
268042005,2423687,216350,8393
268042003,2419167,203923,7756
268042004,2065489,168644,7093
268042007,2448430,211250,9869
268042008,2545322,212243,9690
268042009,3394947,283907,12548
268042006,1562233,135956,7395
268042023,2559091,213490,9546
268042020,3010729,264190,10278
268042013,2933593,242921,10461
268042021,1283236,136408,4363
268042022,1526990,140319,5599
268042011,3180673,259631,11170
268042012,3087785,254167,10775
268042016,2760249,233176,10978
268042015,2446001,201784,8133
268045003,3277125,276171,11192
268042026,2014850,187789,8237
268042024,846256,96213,5945
268042014,3201158,261034,10876
268042025,1267038,116952,5011
268042017,2979859,251190,10071
268117019,3207727,300723,13041
268117020,2292860,219621,9792
268117021,1702256,160931,7039
268117023,1400049,127593,5402
268117022,889798,89108,3651
268117008,2645993,265487,12280
268117018,2986198,283700,12829
268117017,2904508,271141,12183
268117015,2559617,240669,10711
268117016,3437049,332719,15032
268116002,3476744,288103,11407
268117009,3833976,378398,17015
268117014,3534155,323138,14064
268117012,2336867,206571,8813
268117011,4983970,470070,20659
268117001,2529991,249437,10719
268117002,5660329,554077,24701
268117004,2409099,232620,9882
268117003,3880144,366725,16255
268117005,4523437,413546,17916
268117013,2293854,216735,9379
268116001,3552359,330115,14638
268116003,2634688,222424,8894
268117007,3875427,377613,16988
268117010,6556492,654688,29931
268117006,4625165,460755,20901
268116010,3247876,326818,14383
268115016,1803631,171134,8014
268115017,3411085,323061,14557
268115006,2178444,219509,8999
268115002,2345323,193988,7596
268115013,2722294,235320,9841
268115010,914517,96939,6047
268115008,1360932,141097,8751
268116004,2917231,241767,9427
268116005,2280766,191768,7611
268115005,3425916,315629,13774
268115019,3779728,381918,17261
268115018,2437421,207031,9183
268115020,4244508,421102,19162
268116006,5038472,419384,16796
268116007,1344245,151343,6293
268116014,1312252,149054,6215
268115011,842981,88484,5625
268115012,695153,72839,4578
268115009,4549493,477262,25300
268116009,2246208,199958,9073
268116011,7641308,751075,33593
268116008,2142549,206189,9225
268116012,1052709,117946,4913
268115001,2863752,238642,9307
268115003,2824135,237454,9273
268115007,3583431,298083,11485
268113004,2005584,185516,8013
268113005,2145107,183348,8487
268113006,3963934,324155,14162
268115014,2633951,217168,8971
268115015,932905,97102,5587
268115004,3050415,249225,10676
268115022,1798584,148569,5804
268115023,3704881,339404,14734
268116013,1439053,148507,7459
268115021,2986501,247828,10337
268114011,2866073,242470,9735
268114013,1150373,126796,5306
268114012,1319253,153114,6149
268114002,2856048,262821,10953
268114004,2563362,223375,9679
268114003,3085983,257968,11199
268110009,1728956,160189,7135
268110003,2008020,219286,13496
268110010,1536971,145471,7134
268110012,1289443,123827,6222
268110014,1454592,143308,6366
268110013,1377815,139519,5955
268110011,1655765,147068,5817
268110002,1260343,145651,5878
268110005,927621,107335,6824
268110004,3066169,254701,10315
268113007,1863149,185752,7964
268113003,1544829,134826,6321
268113002,983652,95594,4236
268113001,3088896,268528,11370
268114010,980572,98303,4030
268114008,4721229,453944,19786
268114009,1513988,142014,5744
268114007,1430646,124968,5221
268110006,2747987,236582,9792
268110007,3484378,288938,11462
268110019,2616592,220030,9075
268111001,4150913,346519,15055
268111004,2479437,228928,10614
268111002,3210616,267534,11584
268114005,2048781,206348,8986
